model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
transformer,False,53.98406374501992,84.86055776892431,59.31910623489571,53.8121212121212,53.3332522285553,25,100,42,0.0003,32,90,SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20251202-232526-c3e1b7,2025-12-02T23:25:57,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days__dropVOC/SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20251202-232526-c3e1b7/results.jsonl
transformer,False,53.98406374501992,84.86055776892431,59.31910623489571,53.8121212121212,53.3332522285553,25,100,42,0.0003,32,90,SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20251202-232526-c3e1b7,2025-12-02T23:25:57,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days__dropVOC/SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20251202-232526-c3e1b7/results.jsonl
transformer,False,48.80478087649402,85.4581673306773,52.98608081468493,48.51919191919192,47.4585590757888,25,100,42,0.001,32,90,SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.001-seed42-20251202-232600-35f10d,2025-12-02T23:26:31,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days__dropVOC/SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.001-seed42-20251202-232600-35f10d/results.jsonl
transformer,False,48.80478087649402,85.4581673306773,52.98608081468493,48.51919191919192,47.4585590757888,25,100,42,0.001,32,90,SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.001-seed42-20251202-232600-35f10d,2025-12-02T23:26:31,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days__dropVOC/SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.001-seed42-20251202-232600-35f10d/results.jsonl
transformer,False,43.02788844621514,79.2828685258964,46.73383093514673,42.93939393939394,42.47816896216955,25,100,42,0.003,32,90,SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.003-seed42-20251202-232634-fc18b6,2025-12-02T23:27:05,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days__dropVOC/SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.003-seed42-20251202-232634-fc18b6/results.jsonl
transformer,False,43.02788844621514,79.2828685258964,46.73383093514673,42.93939393939394,42.47816896216955,25,100,42,0.003,32,90,SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.003-seed42-20251202-232634-fc18b6,2025-12-02T23:27:05,/orcd/home/002/dewei/workspace/SmellNet/models/held_runs_w100_heldout_days__dropVOC/SEL_heldoutday_grad25_w100_dropVOC-transformer-c0-g25-w100-bs32-lr0.003-seed42-20251202-232634-fc18b6/results.jsonl
