model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,per_category,_source_file
cnn,True,48.605579137802124,81.67331218719482,56.52709778929291,48.57575757575758,45.98036930724839,25,100,1,0.001,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed1-20260223-182021-d17fe4,2026-02-23T18:20:42,"{'Fruits': {'n': 99, 'acc@1': 53.535353535353536, 'acc@5': 88.88888888888889}, 'Herbs': {'n': 98, 'acc@1': 56.12244897959183, 'acc@5': 76.53061224489795}, 'Nuts': {'n': 107, 'acc@1': 46.728971962616825, 'acc@5': 73.83177570093457}, 'Spices': {'n': 98, 'acc@1': 56.12244897959183, 'acc@5': 87.75510204081633}, 'Vegetables': {'n': 100, 'acc@1': 31.0, 'acc@5': 82.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed1/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed1-20260223-182021-d17fe4/results.jsonl
lstm,True,57.76892900466919,85.65737009048462,57.46565891109234,57.74141414141414,54.88390688458724,25,100,1,0.001,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed1-20260223-182045-7e2efc,2026-02-23T18:21:22,"{'Fruits': {'n': 99, 'acc@1': 65.65656565656566, 'acc@5': 93.93939393939394}, 'Herbs': {'n': 98, 'acc@1': 54.08163265306123, 'acc@5': 78.57142857142857}, 'Nuts': {'n': 107, 'acc@1': 61.6822429906542, 'acc@5': 84.11214953271028}, 'Spices': {'n': 98, 'acc@1': 48.97959183673469, 'acc@5': 85.71428571428571}, 'Vegetables': {'n': 100, 'acc@1': 57.99999999999999, 'acc@5': 86.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed1/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed1-20260223-182045-7e2efc/results.jsonl
mlp,True,25.89641511440277,56.7729115486145,28.962307021682022,25.97575757575758,24.425252060048464,25,100,1,0.0003,32,90,SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed1-20260223-181800-626a16,2026-02-23T18:18:17,"{'Fruits': {'n': 99, 'acc@1': 19.19191919191919, 'acc@5': 53.535353535353536}, 'Herbs': {'n': 98, 'acc@1': 34.69387755102041, 'acc@5': 67.3469387755102}, 'Nuts': {'n': 107, 'acc@1': 19.626168224299064, 'acc@5': 43.925233644859816}, 'Spices': {'n': 98, 'acc@1': 36.734693877551024, 'acc@5': 67.3469387755102}, 'Vegetables': {'n': 100, 'acc@1': 20.0, 'acc@5': 53.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed1/SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed1-20260223-181800-626a16/results.jsonl
transformer,True,55.57768940925598,85.25896668434143,58.06452066452067,55.63939393939393,54.97209446669417,25,100,1,0.0003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed1-20260223-181923-6547dc,2026-02-23T18:19:59,"{'Fruits': {'n': 99, 'acc@1': 60.60606060606061, 'acc@5': 91.91919191919192}, 'Herbs': {'n': 98, 'acc@1': 61.224489795918366, 'acc@5': 80.61224489795919}, 'Nuts': {'n': 107, 'acc@1': 42.99065420560748, 'acc@5': 85.98130841121495}, 'Spices': {'n': 98, 'acc@1': 61.224489795918366, 'acc@5': 81.63265306122449}, 'Vegetables': {'n': 100, 'acc@1': 53.0, 'acc@5': 86.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed1/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed1-20260223-181923-6547dc/results.jsonl
