model,gradient,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,window,seed,lr,batch,epochs,run_name,timestamp,per_category,_source_file
cnn,0,True,25.800377130508423,67.41995811462402,23.577277451907115,25.64949494949495,22.082189787334837,100,520,0.0003,32,90,SEL_grad0_w100-cnn-c1-g0-w100-bs32-lr0.0003-seed520-20260222-041029-a1b700,2026-02-22T04:11:02,"{'Fruits': {'n': 105, 'acc@1': 32.38095238095238, 'acc@5': 74.28571428571429}, 'Herbs': {'n': 107, 'acc@1': 16.822429906542055, 'acc@5': 54.20560747663551}, 'Nuts': {'n': 113, 'acc@1': 21.238938053097346, 'acc@5': 65.48672566371681}, 'Spices': {'n': 104, 'acc@1': 40.38461538461539, 'acc@5': 86.53846153846155}, 'Vegetables': {'n': 102, 'acc@1': 18.627450980392158, 'acc@5': 56.86274509803921}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad0_w100-cnn-c1-g0-w100-bs32-lr0.0003-seed520-20260222-041029-a1b700/results.jsonl
cnn,25,True,50.19920468330383,83.26693773269653,59.338741865725645,50.596969696969694,48.84053496576241,100,520,0.0003,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da,2026-02-22T04:11:37,"{'Fruits': {'n': 99, 'acc@1': 59.59595959595959, 'acc@5': 84.84848484848484}, 'Herbs': {'n': 98, 'acc@1': 56.12244897959183, 'acc@5': 83.6734693877551}, 'Nuts': {'n': 107, 'acc@1': 48.598130841121495, 'acc@5': 75.70093457943925}, 'Spices': {'n': 98, 'acc@1': 60.204081632653065, 'acc@5': 90.81632653061224}, 'Vegetables': {'n': 100, 'acc@1': 27.0, 'acc@5': 82.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041106-c3b6da/results.jsonl
lstm,0,True,30.88512122631073,62.711864709854126,31.30904344193818,31.238636363636363,28.88041988753529,100,520,0.0003,32,90,SEL_grad0_w100-lstm-c1-g0-w100-bs32-lr0.0003-seed520-20260222-041141-49db0b,2026-02-22T04:12:34,"{'Fruits': {'n': 105, 'acc@1': 36.19047619047619, 'acc@5': 55.23809523809524}, 'Herbs': {'n': 107, 'acc@1': 20.5607476635514, 'acc@5': 53.271028037383175}, 'Nuts': {'n': 113, 'acc@1': 31.858407079646017, 'acc@5': 66.3716814159292}, 'Spices': {'n': 104, 'acc@1': 35.57692307692308, 'acc@5': 77.88461538461539}, 'Vegetables': {'n': 102, 'acc@1': 30.392156862745097, 'acc@5': 60.78431372549019}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad0_w100-lstm-c1-g0-w100-bs32-lr0.0003-seed520-20260222-041141-49db0b/results.jsonl
lstm,25,True,54.58167791366577,85.45817136764526,56.93780049499863,54.69494949494948,53.48569662564287,100,520,0.003,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7,2026-02-22T04:25:15,"{'Fruits': {'n': 99, 'acc@1': 58.58585858585859, 'acc@5': 94.94949494949495}, 'Herbs': {'n': 98, 'acc@1': 46.93877551020408, 'acc@5': 74.48979591836735}, 'Nuts': {'n': 107, 'acc@1': 56.074766355140184, 'acc@5': 88.78504672897196}, 'Spices': {'n': 98, 'acc@1': 59.183673469387756, 'acc@5': 85.71428571428571}, 'Vegetables': {'n': 100, 'acc@1': 52.0, 'acc@5': 83.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.003-seed520-20260222-042424-05d6d7/results.jsonl
mlp,0,True,23.728813230991364,55.743879079818726,20.643010927218086,23.984343434343433,18.57444515541144,100,520,0.0003,32,90,SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.0003-seed520-20260222-040933-721f32,2026-02-22T04:09:58,"{'Fruits': {'n': 105, 'acc@1': 28.57142857142857, 'acc@5': 58.0952380952381}, 'Herbs': {'n': 107, 'acc@1': 15.887850467289718, 'acc@5': 52.336448598130836}, 'Nuts': {'n': 113, 'acc@1': 15.04424778761062, 'acc@5': 47.78761061946903}, 'Spices': {'n': 104, 'acc@1': 31.73076923076923, 'acc@5': 74.03846153846155}, 'Vegetables': {'n': 102, 'acc@1': 28.431372549019606, 'acc@5': 47.05882352941176}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad0_w100-mlp-c1-g0-w100-bs32-lr0.0003-seed520-20260222-040933-721f32/results.jsonl
mlp,25,True,25.099602341651917,54.38247323036194,23.922127082553203,25.17373737373737,21.739382523321144,100,520,0.001,32,90,SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed520-20260222-041555-2e63a9,2026-02-22T04:16:19,"{'Fruits': {'n': 99, 'acc@1': 26.262626262626267, 'acc@5': 44.44444444444444}, 'Herbs': {'n': 98, 'acc@1': 31.63265306122449, 'acc@5': 66.3265306122449}, 'Nuts': {'n': 107, 'acc@1': 16.822429906542055, 'acc@5': 38.31775700934579}, 'Spices': {'n': 98, 'acc@1': 33.6734693877551, 'acc@5': 71.42857142857143}, 'Vegetables': {'n': 100, 'acc@1': 18.0, 'acc@5': 53.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.001-seed520-20260222-041555-2e63a9/results.jsonl
transformer,0,True,38.2297545671463,71.56308889389038,37.16244319574176,39.153535353535354,34.52403362557047,100,520,0.0003,32,90,SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed520-20260222-041333-3e19ac,2026-02-22T04:14:26,"{'Fruits': {'n': 105, 'acc@1': 57.14285714285714, 'acc@5': 80.0}, 'Herbs': {'n': 107, 'acc@1': 27.102803738317753, 'acc@5': 58.87850467289719}, 'Nuts': {'n': 113, 'acc@1': 34.51327433628318, 'acc@5': 78.76106194690266}, 'Spices': {'n': 104, 'acc@1': 43.269230769230774, 'acc@5': 70.1923076923077}, 'Vegetables': {'n': 102, 'acc@1': 29.411764705882355, 'acc@5': 69.6078431372549}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad0_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed520-20260222-041333-3e19ac/results.jsonl
transformer,25,True,58.7649405002594,85.65737009048462,61.14968007718041,58.954545454545446,57.103286807678955,100,520,0.0003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7,2026-02-22T04:15:22,"{'Fruits': {'n': 99, 'acc@1': 63.63636363636363, 'acc@5': 92.92929292929293}, 'Herbs': {'n': 98, 'acc@1': 59.183673469387756, 'acc@5': 76.53061224489795}, 'Nuts': {'n': 107, 'acc@1': 59.813084112149525, 'acc@5': 85.98130841121495}, 'Spices': {'n': 98, 'acc@1': 64.28571428571429, 'acc@5': 89.79591836734694}, 'Vegetables': {'n': 100, 'acc@1': 47.0, 'acc@5': 83.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed520-20260222-041430-7589e7/results.jsonl
