model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,per_category,_source_file
cnn,True,49.203187227249146,78.8844645023346,54.75433297009148,49.05353535353536,47.967502585241995,25,100,3,0.001,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed3-20260223-183234-6e5164,2026-02-23T18:32:54,"{'Fruits': {'n': 99, 'acc@1': 61.61616161616161, 'acc@5': 86.86868686868688}, 'Herbs': {'n': 98, 'acc@1': 47.95918367346938, 'acc@5': 69.38775510204081}, 'Nuts': {'n': 107, 'acc@1': 48.598130841121495, 'acc@5': 73.83177570093457}, 'Spices': {'n': 98, 'acc@1': 55.10204081632652, 'acc@5': 86.73469387755102}, 'Vegetables': {'n': 100, 'acc@1': 33.0, 'acc@5': 78.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed3/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.001-seed3-20260223-183234-6e5164/results.jsonl
lstm,True,55.776894092559814,85.85657477378845,59.49058018005387,56.08080808080808,55.49083729421793,25,100,3,0.001,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed3-20260223-183257-f21994,2026-02-23T18:33:33,"{'Fruits': {'n': 99, 'acc@1': 65.65656565656566, 'acc@5': 90.9090909090909}, 'Herbs': {'n': 98, 'acc@1': 47.95918367346938, 'acc@5': 82.6530612244898}, 'Nuts': {'n': 107, 'acc@1': 53.271028037383175, 'acc@5': 86.91588785046729}, 'Spices': {'n': 98, 'acc@1': 60.204081632653065, 'acc@5': 84.6938775510204}, 'Vegetables': {'n': 100, 'acc@1': 52.0, 'acc@5': 84.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed3/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.001-seed3-20260223-183257-f21994/results.jsonl
mlp,True,23.306773602962494,54.183268547058105,23.035978377774043,23.377777777777776,21.287356128175077,25,100,3,0.0003,32,90,SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed3-20260223-183012-1dada3,2026-02-23T18:30:29,"{'Fruits': {'n': 99, 'acc@1': 23.232323232323232, 'acc@5': 48.484848484848484}, 'Herbs': {'n': 98, 'acc@1': 27.55102040816326, 'acc@5': 62.244897959183675}, 'Nuts': {'n': 107, 'acc@1': 18.69158878504673, 'acc@5': 40.18691588785047}, 'Spices': {'n': 98, 'acc@1': 32.6530612244898, 'acc@5': 72.44897959183673}, 'Vegetables': {'n': 100, 'acc@1': 15.0, 'acc@5': 49.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed3/SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed3-20260223-183012-1dada3/results.jsonl
transformer,True,61.354583501815796,88.64542245864868,62.40047465434462,61.8020202020202,60.06068832562629,25,100,3,0.0003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed3-20260223-183136-4f0b9b,2026-02-23T18:32:11,"{'Fruits': {'n': 99, 'acc@1': 72.72727272727273, 'acc@5': 93.93939393939394}, 'Herbs': {'n': 98, 'acc@1': 64.28571428571429, 'acc@5': 84.6938775510204}, 'Nuts': {'n': 107, 'acc@1': 57.009345794392516, 'acc@5': 87.85046728971963}, 'Spices': {'n': 98, 'acc@1': 63.26530612244898, 'acc@5': 93.87755102040816}, 'Vegetables': {'n': 100, 'acc@1': 50.0, 'acc@5': 83.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed3/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed3-20260223-183136-4f0b9b/results.jsonl
