model,gradient,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,window,seed,lr,batch,epochs,run_name,timestamp,per_category,_source_file
cnn,25,True,57.968127727508545,87.649405002594,64.58592442040717,58.25757575757575,57.76550676284222,100,2,0.0003,32,90,SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed2-20260223-182426-1070f9,2026-02-23T18:24:46,"{'Fruits': {'n': 99, 'acc@1': 67.67676767676768, 'acc@5': 96.96969696969697}, 'Herbs': {'n': 98, 'acc@1': 54.08163265306123, 'acc@5': 80.61224489795919}, 'Nuts': {'n': 107, 'acc@1': 59.813084112149525, 'acc@5': 86.91588785046729}, 'Spices': {'n': 98, 'acc@1': 62.244897959183675, 'acc@5': 88.77551020408163}, 'Vegetables': {'n': 100, 'acc@1': 46.0, 'acc@5': 85.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed2/SEL_grad25_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed2-20260223-182426-1070f9/results.jsonl
lstm,25,True,54.78087663650513,83.26693773269653,57.000053328314195,54.94646464646464,52.719202005394,100,2,0.0003,32,90,SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed2-20260223-182449-32354f,2026-02-23T18:25:26,"{'Fruits': {'n': 99, 'acc@1': 57.57575757575758, 'acc@5': 89.8989898989899}, 'Herbs': {'n': 98, 'acc@1': 45.91836734693878, 'acc@5': 77.55102040816327}, 'Nuts': {'n': 107, 'acc@1': 63.55140186915887, 'acc@5': 83.17757009345794}, 'Spices': {'n': 98, 'acc@1': 61.224489795918366, 'acc@5': 86.73469387755102}, 'Vegetables': {'n': 100, 'acc@1': 45.0, 'acc@5': 79.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed2/SEL_grad25_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed2-20260223-182449-32354f/results.jsonl
mlp,25,True,27.49004065990448,59.3625545501709,29.73213928702544,27.793939393939393,25.885165766426578,100,2,0.0003,32,90,SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed2-20260223-182406-aa55ca,2026-02-23T18:24:23,"{'Fruits': {'n': 99, 'acc@1': 25.252525252525253, 'acc@5': 59.59595959595959}, 'Herbs': {'n': 98, 'acc@1': 39.795918367346935, 'acc@5': 63.26530612244898}, 'Nuts': {'n': 107, 'acc@1': 22.429906542056074, 'acc@5': 50.467289719626166}, 'Spices': {'n': 98, 'acc@1': 34.69387755102041, 'acc@5': 67.3469387755102}, 'Vegetables': {'n': 100, 'acc@1': 16.0, 'acc@5': 56.99999999999999}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed2/SEL_grad25_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed2-20260223-182406-aa55ca/results.jsonl
transformer,25,True,61.15537881851196,85.65737009048462,61.87095208712856,61.11616161616161,59.41570375375343,100,2,0.0003,32,90,SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed2-20260223-182529-39bec5,2026-02-23T18:26:05,"{'Fruits': {'n': 99, 'acc@1': 66.66666666666666, 'acc@5': 93.93939393939394}, 'Herbs': {'n': 98, 'acc@1': 55.10204081632652, 'acc@5': 77.55102040816327}, 'Nuts': {'n': 107, 'acc@1': 65.42056074766354, 'acc@5': 87.85046728971963}, 'Spices': {'n': 98, 'acc@1': 64.28571428571429, 'acc@5': 86.73469387755102}, 'Vegetables': {'n': 100, 'acc@1': 54.0, 'acc@5': 82.0}}",/orcd/home/002/dewei/workspace/SmellNet/models/contrastive_runs_w100_seed2/SEL_grad25_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed2-20260223-182529-39bec5/results.jsonl
