model,gradient,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,window,seed,lr,batch,epochs,run_name,timestamp,per_category,_source_file
cnn,0,True,27.714034914970398,69.90291476249695,28.18224015569153,27.535008469791077,23.826714494431734,50,42,0.001,32,90,SEL_grad_w50-cnn-c1-g0-w50-bs32-lr0.001-seed42-20251117-025743-f8686e,2025-11-17T02:58:26,"{'Fruits': {'n': 224, 'acc@1': 34.375, 'acc@5': 68.75}, 'Herbs': {'n': 225, 'acc@1': 20.0, 'acc@5': 52.888888888888886}, 'Nuts': {'n': 240, 'acc@1': 35.41666666666667, 'acc@5': 74.58333333333333}, 'Spices': {'n': 222, 'acc@1': 26.576576576576578, 'acc@5': 81.53153153153153}, 'Vegetables': {'n': 222, 'acc@1': 21.62162162162162, 'acc@5': 71.62162162162163}}",/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w50_all/SEL_grad_w50-cnn-c1-g0-w50-bs32-lr0.001-seed42-20251117-025743-f8686e/results.jsonl
cnn,25,True,45.70637047290802,82.54847526550293,54.64437373010319,45.74767268962921,44.86420440555034,50,42,0.0003,32,90,SEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.0003-seed42-20251117-025056-98b84d,2025-11-17T02:51:37,"{'Fruits': {'n': 214, 'acc@1': 57.009345794392516, 'acc@5': 90.65420560747664}, 'Herbs': {'n': 215, 'acc@1': 46.97674418604651, 'acc@5': 80.46511627906978}, 'Nuts': {'n': 230, 'acc@1': 47.82608695652174, 'acc@5': 80.43478260869566}, 'Spices': {'n': 212, 'acc@1': 52.83018867924528, 'acc@5': 85.37735849056604}, 'Vegetables': {'n': 212, 'acc@1': 23.58490566037736, 'acc@5': 75.94339622641509}}",/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w50_all/SEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.0003-seed42-20251117-025056-98b84d/results.jsonl
lstm,0,True,31.95057511329651,62.84201145172119,30.05780316668124,32.42548668722582,28.880195106196698,50,42,0.003,32,90,SEL_grad_w50-lstm-c1-g0-w50-bs32-lr0.003-seed42-20251117-030650-6fddec,2025-11-17T03:07:53,"{'Fruits': {'n': 224, 'acc@1': 32.142857142857146, 'acc@5': 72.76785714285714}, 'Herbs': {'n': 225, 'acc@1': 23.555555555555554, 'acc@5': 48.0}, 'Nuts': {'n': 240, 'acc@1': 30.833333333333336, 'acc@5': 64.58333333333334}, 'Spices': {'n': 222, 'acc@1': 45.4954954954955, 'acc@5': 66.66666666666666}, 'Vegetables': {'n': 222, 'acc@1': 27.927927927927925, 'acc@5': 62.16216216216216}}",/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w50_all/SEL_grad_w50-lstm-c1-g0-w50-bs32-lr0.003-seed42-20251117-030650-6fddec/results.jsonl
lstm,25,True,50.69252252578735,79.50138449668884,52.08865695435971,50.89779433762271,49.63609184830509,50,42,0.001,32,90,SEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.001-seed42-20251117-030020-415c8a,2025-11-17T03:01:20,"{'Fruits': {'n': 214, 'acc@1': 57.943925233644855, 'acc@5': 87.85046728971963}, 'Herbs': {'n': 215, 'acc@1': 39.06976744186046, 'acc@5': 70.23255813953489}, 'Nuts': {'n': 230, 'acc@1': 56.52173913043478, 'acc@5': 80.8695652173913}, 'Spices': {'n': 212, 'acc@1': 58.490566037735846, 'acc@5': 84.43396226415094}, 'Vegetables': {'n': 212, 'acc@1': 41.0377358490566, 'acc@5': 74.05660377358491}}",/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w50_all/SEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.001-seed42-20251117-030020-415c8a/results.jsonl
mlp,0,True,24.09532219171524,58.2524299621582,22.965494926892866,24.13561206909033,20.744976856243763,50,42,0.0003,32,90,SEL_grad_w50-mlp-c1-g0-w50-bs32-lr0.0003-seed42-20251117-024851-00c066,2025-11-17T02:49:29,"{'Fruits': {'n': 224, 'acc@1': 24.107142857142858, 'acc@5': 59.375}, 'Herbs': {'n': 225, 'acc@1': 15.555555555555555, 'acc@5': 45.77777777777778}, 'Nuts': {'n': 240, 'acc@1': 20.416666666666668, 'acc@5': 58.333333333333336}, 'Spices': {'n': 222, 'acc@1': 33.78378378378378, 'acc@5': 76.12612612612612}, 'Vegetables': {'n': 222, 'acc@1': 27.027027027027028, 'acc@5': 51.80180180180181}}",/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w50_all/SEL_grad_w50-mlp-c1-g0-w50-bs32-lr0.0003-seed42-20251117-024851-00c066/results.jsonl
mlp,25,True,24.74607676267624,58.725762367248535,29.95175526803316,24.843004992718953,24.582059627005027,50,42,0.003,32,90,SEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.003-seed42-20251117-030439-bbbcbd,2025-11-17T03:05:13,"{'Fruits': {'n': 214, 'acc@1': 20.093457943925234, 'acc@5': 60.280373831775705}, 'Herbs': {'n': 215, 'acc@1': 29.30232558139535, 'acc@5': 66.97674418604652}, 'Nuts': {'n': 230, 'acc@1': 24.782608695652176, 'acc@5': 43.47826086956522}, 'Spices': {'n': 212, 'acc@1': 26.88679245283019, 'acc@5': 72.64150943396226}, 'Vegetables': {'n': 212, 'acc@1': 22.641509433962266, 'acc@5': 51.41509433962265}}",/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w50_all/SEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.003-seed42-20251117-030439-bbbcbd/results.jsonl
transformer,0,True,34.774935245513916,69.02030110359192,32.57081756686703,35.46632121501687,31.40883247282283,50,42,0.0003,32,90,SEL_grad_w50-transformer-c1-g0-w50-bs32-lr0.0003-seed42-20251117-025350-840ac1,2025-11-17T02:55:06,"{'Fruits': {'n': 224, 'acc@1': 50.0, 'acc@5': 71.875}, 'Herbs': {'n': 225, 'acc@1': 25.77777777777778, 'acc@5': 55.55555555555556}, 'Nuts': {'n': 240, 'acc@1': 30.833333333333336, 'acc@5': 74.16666666666667}, 'Spices': {'n': 222, 'acc@1': 31.53153153153153, 'acc@5': 69.81981981981981}, 'Vegetables': {'n': 222, 'acc@1': 36.03603603603604, 'acc@5': 73.42342342342343}}",/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w50_all/SEL_grad_w50-transformer-c1-g0-w50-bs32-lr0.0003-seed42-20251117-025350-840ac1/results.jsonl
transformer,25,True,52.63158082962036,82.54847526550293,54.09325751477111,52.88811336642001,51.71534241145012,50,42,0.003,32,90,SEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.003-seed42-20251117-031019-862ed0,2025-11-17T03:11:34,"{'Fruits': {'n': 214, 'acc@1': 61.21495327102804, 'acc@5': 88.3177570093458}, 'Herbs': {'n': 215, 'acc@1': 48.372093023255815, 'acc@5': 77.20930232558139}, 'Nuts': {'n': 230, 'acc@1': 53.04347826086957, 'acc@5': 78.69565217391305}, 'Spices': {'n': 212, 'acc@1': 53.77358490566038, 'acc@5': 84.90566037735849}, 'Vegetables': {'n': 212, 'acc@1': 46.69811320754717, 'acc@5': 83.9622641509434}}",/orcd/home/002/dewei/workspace/SmellNet/models/new_gcms_runs_w50_all/SEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.003-seed42-20251117-031019-862ed0/results.jsonl
