2025-07-29 23:29:55,144 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-29 23:29:55,144 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-29 23:29:58,270 - INFO - Training on device: cuda
2025-07-29 23:30:09,588 - INFO - Epoch 64: Loss = 119.6754, Accuracy = 52.44%
2025-07-29 23:30:09,761 - INFO - Epoch 65: Loss = 119.1670, Accuracy = 52.48%
2025-07-29 23:30:09,933 - INFO - Epoch 66: Loss = 118.2065, Accuracy = 53.02%
2025-07-29 23:30:10,106 - INFO - Epoch 67: Loss = 117.1452, Accuracy = 52.73%
2025-07-29 23:30:10,279 - INFO - Epoch 68: Loss = 115.8845, Accuracy = 52.77%
2025-07-29 23:30:10,451 - INFO - Epoch 69: Loss = 115.5989, Accuracy = 53.06%
2025-07-29 23:30:10,624 - INFO - Epoch 70: Loss = 114.3569, Accuracy = 53.56%
2025-07-29 23:30:10,797 - INFO - Epoch 71: Loss = 114.1464, Accuracy = 54.10%
2025-07-29 23:30:10,969 - INFO - Epoch 72: Loss = 113.2691, Accuracy = 53.81%
2025-07-29 23:30:11,142 - INFO - Epoch 73: Loss = 111.8026, Accuracy = 55.22%
2025-07-29 23:30:11,314 - INFO - Epoch 74: Loss = 111.3103, Accuracy = 55.01%
2025-07-29 23:30:11,487 - INFO - Epoch 75: Loss = 110.6091, Accuracy = 54.22%
2025-07-29 23:30:11,660 - INFO - Epoch 76: Loss = 110.9295, Accuracy = 55.17%
2025-07-29 23:30:11,832 - INFO - Epoch 77: Loss = 109.4297, Accuracy = 55.63%
2025-07-29 23:30:12,005 - INFO - Epoch 78: Loss = 107.6029, Accuracy = 57.33%
2025-07-29 23:30:12,177 - INFO - Epoch 79: Loss = 107.2912, Accuracy = 56.46%
2025-07-29 23:30:12,350 - INFO - Epoch 80: Loss = 105.8165, Accuracy = 57.86%
2025-07-29 23:30:12,522 - INFO - Epoch 81: Loss = 105.4381, Accuracy = 56.95%
2025-07-29 23:30:12,697 - INFO - Epoch 82: Loss = 105.0587, Accuracy = 57.66%
2025-07-29 23:30:12,869 - INFO - Epoch 83: Loss = 104.5017, Accuracy = 58.28%
2025-07-29 23:30:13,042 - INFO - Epoch 84: Loss = 103.4920, Accuracy = 57.37%
2025-07-29 23:30:13,215 - INFO - Epoch 85: Loss = 102.2219, Accuracy = 58.69%
2025-07-29 23:30:13,387 - INFO - Epoch 86: Loss = 101.4661, Accuracy = 58.49%
2025-07-29 23:30:13,560 - INFO - Epoch 87: Loss = 101.0005, Accuracy = 58.77%
2025-07-29 23:30:13,732 - INFO - Epoch 88: Loss = 99.5824, Accuracy = 60.06%
2025-07-29 23:30:13,905 - INFO - Epoch 89: Loss = 99.1240, Accuracy = 60.14%
2025-07-29 23:30:14,077 - INFO - Epoch 90: Loss = 98.3906, Accuracy = 60.14%
2025-07-29 23:30:14,250 - INFO - Epoch 91: Loss = 97.6167, Accuracy = 60.89%
2025-07-29 23:30:14,422 - INFO - Epoch 92: Loss = 96.2408, Accuracy = 60.22%
2025-07-29 23:30:14,595 - INFO - Epoch 93: Loss = 96.3703, Accuracy = 61.01%
2025-07-29 23:30:14,767 - INFO - Epoch 94: Loss = 95.8150, Accuracy = 61.13%
2025-07-29 23:30:14,940 - INFO - Epoch 95: Loss = 95.4683, Accuracy = 61.13%
2025-07-29 23:30:15,112 - INFO - Epoch 96: Loss = 94.3829, Accuracy = 61.47%
2025-07-29 23:30:15,285 - INFO - Epoch 97: Loss = 93.3463, Accuracy = 62.33%
2025-07-29 23:30:15,457 - INFO - Epoch 98: Loss = 93.1537, Accuracy = 61.09%
2025-07-29 23:30:15,631 - INFO - Epoch 99: Loss = 92.7292, Accuracy = 61.71%
2025-07-29 23:30:15,804 - INFO - Epoch 100: Loss = 91.3030, Accuracy = 62.83%
2025-07-29 23:30:15,977 - INFO - Epoch 101: Loss = 90.7848, Accuracy = 63.25%
2025-07-29 23:30:16,149 - INFO - Epoch 102: Loss = 89.3304, Accuracy = 63.33%
2025-07-29 23:30:16,322 - INFO - Epoch 103: Loss = 88.5941, Accuracy = 63.49%
2025-07-29 23:30:16,494 - INFO - Epoch 104: Loss = 88.7765, Accuracy = 63.45%
2025-07-29 23:30:16,667 - INFO - Epoch 105: Loss = 87.4136, Accuracy = 64.49%
2025-07-29 23:30:16,840 - INFO - Epoch 106: Loss = 87.4970, Accuracy = 63.78%
2025-07-29 23:30:17,012 - INFO - Epoch 107: Loss = 86.5282, Accuracy = 64.49%
2025-07-29 23:30:17,185 - INFO - Epoch 108: Loss = 85.9097, Accuracy = 64.20%
2025-07-29 23:30:17,358 - INFO - Epoch 109: Loss = 85.9538, Accuracy = 64.74%
2025-07-29 23:30:17,530 - INFO - Epoch 110: Loss = 84.2695, Accuracy = 64.82%
2025-07-29 23:30:17,704 - INFO - Epoch 111: Loss = 83.5467, Accuracy = 65.31%
2025-07-29 23:30:17,877 - INFO - Epoch 112: Loss = 84.3060, Accuracy = 64.57%
2025-07-29 23:30:18,050 - INFO - Epoch 113: Loss = 83.2700, Accuracy = 65.65%
2025-07-29 23:30:18,222 - INFO - Epoch 114: Loss = 82.4264, Accuracy = 66.35%
2025-07-29 23:30:18,394 - INFO - Epoch 115: Loss = 81.9554, Accuracy = 66.93%
2025-07-29 23:30:18,567 - INFO - Epoch 116: Loss = 81.0348, Accuracy = 66.43%
2025-07-29 23:30:18,740 - INFO - Epoch 117: Loss = 80.9075, Accuracy = 66.31%
2025-07-29 23:30:18,912 - INFO - Epoch 118: Loss = 80.2957, Accuracy = 67.05%
2025-07-29 23:30:19,085 - INFO - Epoch 119: Loss = 80.1639, Accuracy = 67.51%
2025-07-29 23:30:19,257 - INFO - Epoch 120: Loss = 78.8269, Accuracy = 68.17%
2025-07-29 23:30:19,430 - INFO - Epoch 121: Loss = 77.9650, Accuracy = 68.21%
2025-07-29 23:30:19,603 - INFO - Epoch 122: Loss = 77.2114, Accuracy = 67.38%
2025-07-29 23:30:19,776 - INFO - Epoch 123: Loss = 76.1254, Accuracy = 68.38%
2025-07-29 23:30:19,949 - INFO - Epoch 124: Loss = 76.7559, Accuracy = 68.29%
2025-07-29 23:30:20,121 - INFO - Epoch 125: Loss = 75.8559, Accuracy = 68.87%
2025-07-29 23:30:20,294 - INFO - Epoch 126: Loss = 75.3395, Accuracy = 69.12%
2025-07-29 23:30:20,466 - INFO - Epoch 127: Loss = 75.1210, Accuracy = 69.33%
2025-07-29 23:30:20,639 - INFO - Epoch 128: Loss = 74.5229, Accuracy = 69.16%
2025-07-29 23:30:20,812 - INFO - Epoch 129: Loss = 74.6693, Accuracy = 68.83%
2025-07-29 23:30:20,984 - INFO - Epoch 130: Loss = 73.3086, Accuracy = 69.95%
2025-07-29 23:30:21,157 - INFO - Epoch 131: Loss = 73.2501, Accuracy = 69.74%
2025-07-29 23:30:21,330 - INFO - Epoch 132: Loss = 72.3169, Accuracy = 70.24%
2025-07-29 23:30:21,502 - INFO - Epoch 133: Loss = 73.0883, Accuracy = 69.70%
2025-07-29 23:30:21,676 - INFO - Epoch 134: Loss = 70.6632, Accuracy = 70.45%
2025-07-29 23:30:21,849 - INFO - Epoch 135: Loss = 70.2808, Accuracy = 71.11%
2025-07-29 23:30:22,022 - INFO - Epoch 136: Loss = 70.2047, Accuracy = 71.03%
2025-07-29 23:30:22,194 - INFO - Epoch 137: Loss = 69.6722, Accuracy = 71.23%
2025-07-29 23:30:22,366 - INFO - Epoch 138: Loss = 69.3956, Accuracy = 71.44%
2025-07-29 23:30:22,539 - INFO - Epoch 139: Loss = 68.3600, Accuracy = 71.52%
2025-07-29 23:30:22,712 - INFO - Epoch 140: Loss = 68.9517, Accuracy = 71.52%
2025-07-29 23:30:22,884 - INFO - Epoch 141: Loss = 68.3279, Accuracy = 71.69%
