2025-07-30 13:04:07,127 - INFO - ------------------------------------Gradient Period 25-------------------------------------------
2025-07-30 13:04:07,127 - INFO - [Gradient Period 25 Run 1] Starting
2025-07-30 13:04:09,101 - INFO - Training on device: cuda
2025-07-30 13:04:10,141 - INFO - Epoch 64: Loss = 21.4848, Accuracy = 26.00%
2025-07-30 13:04:10,155 - INFO - Epoch 65: Loss = 21.3196, Accuracy = 27.20%
2025-07-30 13:04:10,168 - INFO - Epoch 66: Loss = 21.1377, Accuracy = 28.40%
2025-07-30 13:04:10,182 - INFO - Epoch 67: Loss = 20.9896, Accuracy = 29.20%
2025-07-30 13:04:10,196 - INFO - Epoch 68: Loss = 20.8845, Accuracy = 29.20%
2025-07-30 13:04:10,209 - INFO - Epoch 69: Loss = 20.8108, Accuracy = 28.80%
2025-07-30 13:04:10,223 - INFO - Epoch 70: Loss = 20.6968, Accuracy = 29.20%
2025-07-30 13:04:10,237 - INFO - Epoch 71: Loss = 20.5390, Accuracy = 30.00%
2025-07-30 13:04:10,250 - INFO - Epoch 72: Loss = 20.3594, Accuracy = 31.20%
2025-07-30 13:04:10,264 - INFO - Epoch 73: Loss = 20.2838, Accuracy = 31.20%
2025-07-30 13:04:10,277 - INFO - Epoch 74: Loss = 20.1655, Accuracy = 32.40%
2025-07-30 13:04:10,291 - INFO - Epoch 75: Loss = 20.0010, Accuracy = 32.40%
2025-07-30 13:04:10,305 - INFO - Epoch 76: Loss = 19.8731, Accuracy = 34.00%
2025-07-30 13:04:10,318 - INFO - Epoch 77: Loss = 19.7702, Accuracy = 35.20%
2025-07-30 13:04:10,332 - INFO - Epoch 78: Loss = 19.6734, Accuracy = 34.00%
2025-07-30 13:04:10,346 - INFO - Epoch 79: Loss = 19.5218, Accuracy = 35.60%
2025-07-30 13:04:10,359 - INFO - Epoch 80: Loss = 19.4081, Accuracy = 35.60%
2025-07-30 13:04:10,373 - INFO - Epoch 81: Loss = 19.2674, Accuracy = 37.60%
2025-07-30 13:04:10,387 - INFO - Epoch 82: Loss = 19.2199, Accuracy = 36.80%
2025-07-30 13:04:10,400 - INFO - Epoch 83: Loss = 19.1200, Accuracy = 38.80%
2025-07-30 13:04:10,414 - INFO - Epoch 84: Loss = 18.9944, Accuracy = 39.20%
2025-07-30 13:04:10,428 - INFO - Epoch 85: Loss = 18.9132, Accuracy = 39.20%
2025-07-30 13:04:10,441 - INFO - Epoch 86: Loss = 18.8484, Accuracy = 40.40%
2025-07-30 13:04:10,455 - INFO - Epoch 87: Loss = 18.7188, Accuracy = 41.20%
2025-07-30 13:04:10,469 - INFO - Epoch 88: Loss = 18.5888, Accuracy = 41.60%
2025-07-30 13:04:10,482 - INFO - Epoch 89: Loss = 18.4924, Accuracy = 41.60%
2025-07-30 13:04:10,496 - INFO - Epoch 90: Loss = 18.3926, Accuracy = 41.60%
2025-07-30 13:04:10,510 - INFO - Epoch 91: Loss = 18.2977, Accuracy = 41.60%
2025-07-30 13:04:10,523 - INFO - Epoch 92: Loss = 18.2566, Accuracy = 42.00%
2025-07-30 13:04:10,537 - INFO - Epoch 93: Loss = 18.2133, Accuracy = 42.80%
2025-07-30 13:04:10,550 - INFO - Epoch 94: Loss = 18.1074, Accuracy = 42.00%
2025-07-30 13:04:10,564 - INFO - Epoch 95: Loss = 18.0229, Accuracy = 41.60%
2025-07-30 13:04:10,578 - INFO - Epoch 96: Loss = 17.9012, Accuracy = 42.80%
2025-07-30 13:04:10,591 - INFO - Epoch 97: Loss = 17.7988, Accuracy = 42.40%
2025-07-30 13:04:10,605 - INFO - Epoch 98: Loss = 17.7155, Accuracy = 43.20%
2025-07-30 13:04:10,619 - INFO - Epoch 99: Loss = 17.6474, Accuracy = 43.60%
2025-07-30 13:04:10,632 - INFO - Epoch 100: Loss = 17.5448, Accuracy = 44.00%
2025-07-30 13:04:10,646 - INFO - Epoch 101: Loss = 17.3968, Accuracy = 45.20%
2025-07-30 13:04:10,660 - INFO - Epoch 102: Loss = 17.3651, Accuracy = 45.60%
2025-07-30 13:04:10,673 - INFO - Epoch 103: Loss = 17.2029, Accuracy = 46.00%
2025-07-30 13:04:10,687 - INFO - Epoch 104: Loss = 17.1552, Accuracy = 45.20%
2025-07-30 13:04:10,701 - INFO - Epoch 105: Loss = 17.0318, Accuracy = 46.80%
2025-07-30 13:04:10,714 - INFO - Epoch 106: Loss = 16.9539, Accuracy = 46.80%
2025-07-30 13:04:10,728 - INFO - Epoch 107: Loss = 16.8688, Accuracy = 46.80%
2025-07-30 13:04:10,741 - INFO - Epoch 108: Loss = 16.8440, Accuracy = 46.80%
2025-07-30 13:04:10,755 - INFO - Epoch 109: Loss = 16.6959, Accuracy = 47.60%
2025-07-30 13:04:10,769 - INFO - Epoch 110: Loss = 16.6616, Accuracy = 48.00%
2025-07-30 13:04:10,783 - INFO - Epoch 111: Loss = 16.5730, Accuracy = 48.40%
2025-07-30 13:04:10,796 - INFO - Epoch 112: Loss = 16.4937, Accuracy = 48.00%
2025-07-30 13:04:10,810 - INFO - Epoch 113: Loss = 16.3964, Accuracy = 47.20%
2025-07-30 13:04:10,823 - INFO - Epoch 114: Loss = 16.2832, Accuracy = 49.60%
2025-07-30 13:04:10,837 - INFO - Epoch 115: Loss = 16.2679, Accuracy = 50.00%
2025-07-30 13:04:10,851 - INFO - Epoch 116: Loss = 16.1743, Accuracy = 50.40%
2025-07-30 13:04:10,864 - INFO - Epoch 117: Loss = 16.1185, Accuracy = 50.00%
2025-07-30 13:04:10,878 - INFO - Epoch 118: Loss = 15.9890, Accuracy = 50.40%
2025-07-30 13:04:10,892 - INFO - Epoch 119: Loss = 15.9286, Accuracy = 51.60%
2025-07-30 13:04:10,905 - INFO - Epoch 120: Loss = 15.8689, Accuracy = 50.80%
2025-07-30 13:04:10,919 - INFO - Epoch 121: Loss = 15.7653, Accuracy = 51.20%
2025-07-30 13:04:10,932 - INFO - Epoch 122: Loss = 15.7119, Accuracy = 51.20%
2025-07-30 13:04:10,946 - INFO - Epoch 123: Loss = 15.6981, Accuracy = 50.80%
2025-07-30 13:04:10,960 - INFO - Epoch 124: Loss = 15.5809, Accuracy = 52.80%
2025-07-30 13:04:10,973 - INFO - Epoch 125: Loss = 15.4620, Accuracy = 53.20%
2025-07-30 13:04:10,987 - INFO - Epoch 126: Loss = 15.4183, Accuracy = 53.20%
2025-07-30 13:04:11,000 - INFO - Epoch 127: Loss = 15.3211, Accuracy = 53.20%
2025-07-30 13:04:11,014 - INFO - Epoch 128: Loss = 15.3011, Accuracy = 54.00%
2025-07-30 13:04:11,028 - INFO - Epoch 129: Loss = 15.2263, Accuracy = 55.60%
2025-07-30 13:04:11,041 - INFO - Epoch 130: Loss = 15.1594, Accuracy = 55.20%
2025-07-30 13:04:11,055 - INFO - Epoch 131: Loss = 15.0826, Accuracy = 56.00%
2025-07-30 13:04:11,069 - INFO - Epoch 132: Loss = 14.9887, Accuracy = 56.40%
2025-07-30 13:04:11,082 - INFO - Epoch 133: Loss = 14.9328, Accuracy = 56.00%
2025-07-30 13:04:11,096 - INFO - Epoch 134: Loss = 14.8174, Accuracy = 57.60%
2025-07-30 13:04:11,109 - INFO - Epoch 135: Loss = 14.7729, Accuracy = 58.00%
2025-07-30 13:04:11,123 - INFO - Epoch 136: Loss = 14.6618, Accuracy = 57.60%
2025-07-30 13:04:11,137 - INFO - Epoch 137: Loss = 14.6605, Accuracy = 57.20%
2025-07-30 13:04:11,150 - INFO - Epoch 138: Loss = 14.5134, Accuracy = 59.60%
2025-07-30 13:04:11,164 - INFO - Epoch 139: Loss = 14.4456, Accuracy = 59.60%
2025-07-30 13:04:11,178 - INFO - Epoch 140: Loss = 14.4142, Accuracy = 60.00%
2025-07-30 13:04:11,191 - INFO - Epoch 141: Loss = 14.3420, Accuracy = 59.60%
2025-07-30 13:04:11,205 - INFO - Epoch 142: Loss = 14.2944, Accuracy = 60.00%
2025-07-30 13:04:11,218 - INFO - Epoch 143: Loss = 14.1891, Accuracy = 61.20%
2025-07-30 13:04:11,232 - INFO - Epoch 144: Loss = 14.0957, Accuracy = 61.60%
2025-07-30 13:04:11,246 - INFO - Epoch 145: Loss = 14.0632, Accuracy = 60.40%
2025-07-30 13:04:11,259 - INFO - Epoch 146: Loss = 13.9678, Accuracy = 61.20%
2025-07-30 13:04:11,273 - INFO - Epoch 147: Loss = 13.9171, Accuracy = 61.20%
2025-07-30 13:04:11,287 - INFO - Epoch 148: Loss = 13.8154, Accuracy = 62.80%
2025-07-30 13:04:11,300 - INFO - Epoch 149: Loss = 13.7435, Accuracy = 62.40%
2025-07-30 13:04:11,314 - INFO - Epoch 150: Loss = 13.6848, Accuracy = 62.00%
2025-07-30 13:04:11,328 - INFO - Epoch 151: Loss = 13.6235, Accuracy = 62.80%
2025-07-30 13:04:11,341 - INFO - Epoch 152: Loss = 13.5528, Accuracy = 62.80%
2025-07-30 13:04:11,355 - INFO - Epoch 153: Loss = 13.4499, Accuracy = 64.00%
2025-07-30 13:04:11,368 - INFO - Epoch 154: Loss = 13.4904, Accuracy = 64.40%
2025-07-30 13:04:11,382 - INFO - Epoch 155: Loss = 13.3827, Accuracy = 64.00%
2025-07-30 13:04:11,396 - INFO - Epoch 156: Loss = 13.3139, Accuracy = 64.40%
2025-07-30 13:04:11,409 - INFO - Epoch 157: Loss = 13.2214, Accuracy = 65.20%
2025-07-30 13:04:11,423 - INFO - Epoch 158: Loss = 13.1655, Accuracy = 65.60%
2025-07-30 13:04:11,436 - INFO - Epoch 159: Loss = 13.0904, Accuracy = 64.80%
2025-07-30 13:04:11,450 - INFO - Epoch 160: Loss = 13.0444, Accuracy = 65.20%
2025-07-30 13:04:11,464 - INFO - Epoch 161: Loss = 12.9706, Accuracy = 66.40%
2025-07-30 13:04:11,477 - INFO - Epoch 162: Loss = 12.9327, Accuracy = 65.20%
2025-07-30 13:04:11,491 - INFO - Epoch 163: Loss = 12.8474, Accuracy = 65.60%
2025-07-30 13:04:11,505 - INFO - Epoch 164: Loss = 12.8167, Accuracy = 65.60%
2025-07-30 13:04:11,518 - INFO - Epoch 165: Loss = 12.7671, Accuracy = 66.00%
2025-07-30 13:04:11,532 - INFO - Epoch 166: Loss = 12.6712, Accuracy = 67.20%
2025-07-30 13:04:11,545 - INFO - Epoch 167: Loss = 12.6106, Accuracy = 67.20%
2025-07-30 13:04:11,559 - INFO - Epoch 168: Loss = 12.5952, Accuracy = 64.80%
2025-07-30 13:04:11,573 - INFO - Epoch 169: Loss = 12.5566, Accuracy = 66.00%
2025-07-30 13:04:11,586 - INFO - Epoch 170: Loss = 12.5015, Accuracy = 66.80%
2025-07-30 13:04:11,600 - INFO - Epoch 171: Loss = 12.4078, Accuracy = 67.60%
2025-07-30 13:04:11,614 - INFO - Epoch 172: Loss = 12.3245, Accuracy = 68.00%
2025-07-30 13:04:11,627 - INFO - Epoch 173: Loss = 12.2589, Accuracy = 68.80%
2025-07-30 13:04:11,641 - INFO - Epoch 174: Loss = 12.2429, Accuracy = 67.60%
2025-07-30 13:04:11,654 - INFO - Epoch 175: Loss = 12.2237, Accuracy = 68.40%
2025-07-30 13:04:11,668 - INFO - Epoch 176: Loss = 12.0819, Accuracy = 68.40%
2025-07-30 13:04:11,682 - INFO - Epoch 177: Loss = 12.0358, Accuracy = 67.60%
2025-07-30 13:04:11,695 - INFO - Epoch 178: Loss = 12.0404, Accuracy = 67.20%
2025-07-30 13:04:11,709 - INFO - Epoch 179: Loss = 11.9992, Accuracy = 69.20%
2025-07-30 13:04:11,723 - INFO - Epoch 180: Loss = 11.9321, Accuracy = 67.60%
2025-07-30 13:04:11,736 - INFO - Epoch 181: Loss = 11.8754, Accuracy = 68.80%
2025-07-30 13:04:11,750 - INFO - Epoch 182: Loss = 11.8413, Accuracy = 68.80%
2025-07-30 13:04:11,764 - INFO - Epoch 183: Loss = 11.7278, Accuracy = 69.60%
2025-07-30 13:04:11,777 - INFO - Epoch 184: Loss = 11.7430, Accuracy = 68.80%
2025-07-30 13:04:11,791 - INFO - Epoch 185: Loss = 11.6579, Accuracy = 70.40%
2025-07-30 13:04:11,804 - INFO - Epoch 186: Loss = 11.5774, Accuracy = 71.20%
2025-07-30 13:04:11,818 - INFO - Epoch 187: Loss = 11.5213, Accuracy = 70.40%
2025-07-30 13:04:11,832 - INFO - Epoch 188: Loss = 11.4403, Accuracy = 70.40%
2025-07-30 13:04:11,847 - INFO - Epoch 189: Loss = 11.4083, Accuracy = 71.60%
2025-07-30 13:04:11,861 - INFO - Epoch 190: Loss = 11.3501, Accuracy = 72.00%
2025-07-30 13:04:11,875 - INFO - Epoch 191: Loss = 11.3362, Accuracy = 71.20%
2025-07-30 13:04:11,888 - INFO - Epoch 192: Loss = 11.2821, Accuracy = 73.20%
2025-07-30 13:04:11,902 - INFO - Epoch 193: Loss = 11.2339, Accuracy = 74.00%
2025-07-30 13:04:11,916 - INFO - Epoch 194: Loss = 11.1413, Accuracy = 74.00%
2025-07-30 13:04:11,929 - INFO - Epoch 195: Loss = 11.1361, Accuracy = 74.00%
2025-07-30 13:04:11,943 - INFO - Epoch 196: Loss = 11.0521, Accuracy = 73.60%
2025-07-30 13:04:11,957 - INFO - Epoch 197: Loss = 10.9472, Accuracy = 74.80%
2025-07-30 13:04:11,970 - INFO - Epoch 198: Loss = 10.9215, Accuracy = 75.20%
2025-07-30 13:04:11,984 - INFO - Epoch 199: Loss = 10.8076, Accuracy = 75.20%
